poi_code	orig_postcode	orig_city	orig_street	orig_housenumber	orig_conscriptionnumber	orig_name	new_postcode	new_city	new_street	new_housenumber	new_conscriptionnumber	new_name
*	1162	Budapest	Szlovák út sarok				1162	Budapest	Szlovák út			
*	1163	Budapest	Veres Péter utca	47			1163	Budapest	Veres Péter út	47		
*	1165	Budapest	BÖKÉNYFÖLDI út	*			1165	Budapest	Bökényföldi út	*		
*	1165	Budapest	Centenárium sétány	*			1165	Budapest	Centenáriumi sétány	*		
*	1163	Budapest	Veres Péter út	105-107			1165	Budapest	Veres Péter út	105-107		
*	1173	Budapest	Pesti út	273/C			1171	Budapest	Pesti út	273/c		
*	1172	Budapest	XVII, 17 Naplás út	*			1172	Budapest	Naplás út	*		
*	1172	Budapest	Szent Imre utca	*			1172	Budapest	Szent Imre herceg út	*		
*	1172	Budapest	Pesti út	22			1173	Budapest	Pesti út	22		
*	1171	Budapest	Pesti út	237/P			1173	Budapest	Pesti út	237/p		
*	1173	Budapest	XVII, 17 Pesti út	5			1173	Budapest	Pesti út	5		
hupostacso	1826	Budapest	Pesti út	5-7			1173	Budapest	Pesti út	5-7		
*	1172	Budapest	525. tér				1173	Budapest	525. tér			
*	1174	Budapest	Bányapart utca	*			1174	Budapest	Bánya part	*		
*	1174	Budapest	Szabad Május tér	*			1174	Budapest	Szabad május tér	*		
*	1181	Budapest	XVII, 18 Baross utca	*			1181	Budapest	Baross utca	*		
hupostacso	1826	Budapest	Üllői út	661			1182	Budapest	Üllői út	661		
*	1186	Budapest	Üllői út	661			1182	Budapest	Üllői út	661		
*	1185	Budapest	Üllői út	661			1182	Budapest	Üllői út	661		
*	1183	Budapest	gyömrői út				1183	Budapest	Gyömrői út			
*	1184	Budapest	Lakatos utca	*			1184	Budapest	Lakatos út	*		
*	1185	Budapest	Üllői utca	738			1185	Budapest	Üllői út	738		
*	1182	Budapest	Cziffra György utca	15/B			1186	Budapest	Cziffra György utca	15/b		
*	1180	Budapest	Margó Tivadar u.	83			1186	Budapest	Margó Tivadar utca	83		
*	1188	Budapest	Alacskai utca	1			1188	Budapest	Alacskai út	1		
*	1182	Budapest	Alacskai út	3			1188	Budapest	Alacskai út	3		
*	1195	Budapest	Ady Endre utca	42-44			1191	Budapest	Ady Endre út	42-44		
*	1191	Budapest	Üllői utca	201			1191	Budapest	Üllői út	201		
hupostacso	1826	Budapest	Üllői út	201			1191	Budapest	Üllői út	201		
*	1195	Budapest	Üllői út	233			1191	Budapest	Üllői út	233		
hupostacso	1826	Budapest	Vak Bottyán utca	75 a-c			1191	Budapest	Vak Bottyán utca	75/a-c		
*	1191	Budapest	Vak Bottyán u.	75. A-C			1191	Budapest	Vak Bottyán utca	75/a-c		
*	1192	Budapest	Pannónia utca	*			1192	Budapest	Pannónia út	*		
*	1195	Budapest	Üllői út	280			1193	Budapest	Üllői út	280		
*	0	Budapest	Citroen utca	*			1194	Budapest	Citroën utca	*		
*	1195	Budapest	Méta utca				1194	Budapest	Méta utca			
*	1191	Budapest	Batthyány utca	42			1195	Budapest	Batthyány utca	42		
*	1193	Budapest	Üllői út	303			1195	Budapest	Üllői út	303		
*	1191	Budapest	Templom tér	21			1196	Budapest	Templom tér	21		
*	1201	Budapest	Vörösmarty út				1201	Budapest	Vörösmarty utca			
*	1204	Budapest	Mártírok útja	281			1202	Budapest	Mártírok útja	281		
*	1204	Budapest	Nagykőrösi út	185			1202	Budapest	Nagykőrösi út	185		
*	1204	Budapest	Ady Endre út	67			1203	Budapest	Ady Endre utca	67		
*	1203	Budapest	Kossuth L. u.	21-29			1203	Budapest	Kossuth Lajos utca	21-29		
*	1201	Budapest	Kossuth Lajos utca	37/B			1203	Budapest	Kossuth Lajos utca	37/b		
*	1201	Budapest	Széchenyi utca	*			1203	Budapest	Széchenyi utca	*		
hupostacso	1871	Budapest	Széchenyi utca	1			1203	Budapest	Széchenyi utca	1		
*	1203	Budapest	Topánka utca - Baross utca sarok				1203	Budapest	Topánka utca			
*	1211	Budapest	II. Rákóczi Ferenc utca	69			1211	Budapest	II. Rákóczi Ferenc út	69		
*	1212	Budapest	Kossuth Lajos utca	103			1211	Budapest	Kossuth Lajos utca	103		
*	1211	Budapest	Kossuth L. u.	82			1211	Budapest	Kossuth Lajos utca	82		
*	1211	Budapest	Kossuth utca	93			1211	Budapest	Kossuth Lajos utca	93		
*	1214	Budapest	Salak út	*			1211	Budapest	Salak utca	*		
*	1214	Budapest	Dunadűlő út	*			1212	Budapest	Dunadűlő út	*		
*	1212	Budapest	II Rákóczi Ferenc út	154-170			1212	Budapest	II. Rákóczi Ferenc út	154-170		
*	1211	Budapest	Rákóczi Ferenc utca	154-170			1212	Budapest	II. Rákóczi Ferenc út	154-170		
hupostacso	1871	Budapest	II. Rákóczi Ferenc út	154-170			1212	Budapest	II. Rákóczi Ferenc út	154-170		
*	1214	Budapest	Rákóczi F. út	174			1212	Budapest	II. Rákóczi Ferenc út	174		
*	1214	Budapest	Szent László út	115			1213	Budapest	Szent László utca	115		
*	1212	Budapest	Akácfa utca	*			1214	Budapest	Akácfa utca	*		
*	1214	Budapest	Rákóczi Ferenc utca	189			1214	Budapest	II. Rákóczi Ferenc út	189		
*	1214	Budapest	Rákóczi Ferenc út	191			1214	Budapest	II. Rákóczi Ferenc út	191		
*	1214	Budapest	II. Rákóczi Ferenc utca	191			1214	Budapest	II. Rákóczi Ferenc út	191		
*	1221	Budafok	Ady Endre utca	*			1221	Budapest	Ady Endre út	*		
*	1221	Budapest	Ártér utca	*			1222	Budapest	Ártér utca	*		
*	1225	Budapest	Nagytétényi út	31-33			1222	Budapest	Nagytétényi út	31-33		
hupostacso	1871	Budapest	Nagytétényi út	35			1222	Budapest	Nagytétényi út	35		
*	1221	Budapest	Nagytétényi út	37-43			1222	Budapest	Nagytétényi út	37-43		
*	1223	Budapest	Nagytétényi út	37-43			1222	Budapest	Nagytétényi út	37-43		
*	1223	Budapest	Nagytétényi út	76			1222	Budapest	Nagytétényi út	76		
*	1238	Budapest	Grassalkovich utca	145			1238	Budapest	Grassalkovich út	145		
*	1238	Budapest	Helsinki utca	108-112			1238	Budapest	Helsinki út	108-112		
*	1239	Budapest	Hősök tere	21-27			1238	Budapest	Hősök tere	21-27		
*	1239	Budapest	Bevásárló út	*			1239	Budapest	Bevásárló utca	*		
*	1239	Budapest	Nagykörösi út	349			1239	Budapest	Nagykőrösi út	349		
*	1239	Budapest	Nagykőrösi  út	351			1239	Budapest	Nagykőrösi út	351		
*	1239	Budapest	ócsai út				1239	Budapest	Ócsai út			
hupostapo	1251	Budapest	Fő utca	4			1251	Budapest	Fő út	4		
hupostapo	1252	Budapest	Déli pu. 				1252	Budapest	Déli pályaudvar			
hupostapo	1290	Budapest	Lövőház utca	2-6			1290	Budapest	Lövőház utca	1-5		
hupostapo	1301	Budapest	Kolossy tér	5-6			1301	Budapest	Kolosy tér	5-6		
hupostapo	1454	Budapest	Üllői út	89/a fsz-3			1454	Budapest	Üllői út	89/a		
hupostapo	1455	Budapest	Gönczy Pál utca	2. Fszt. 4			1455	Budapest	Gönczy Pál utca	2		
hupostapo	1676	Budapest	Királyhágó utca	5			1676	Budapest	Királyhágó út	5		
hupostapo	1686	Budapest	BUD Nemzetközi Repülőtér 				1686	Budapest	Liszt Ferenc Nemzetközi repülőtér			
hupostapo	1708	Budapest	Vak Bottyán utca	75. A-C			1708	Budapest	Vak Bottyán utca	75/a-c		
hupostapo	1734	Budapest	Grassalkovich utca	153			1734	Budapest	Grassalkovich út	153		
*	2000	Szentendre	Ady Endre utca	*			2000	Szentendre	Ady Endre út	*		
*	2000	Szentendre	Dobogókői utca	*			2000	Szentendre	Dobogókői út	*		
*	2000	Szentendre	Dunakorzó utca	*			2000	Szentendre	Duna korzó	*		
*	2000	Szentendre	Vasúti villa	*			2000	Szentendre	Vasúti villasor	*		
*	2045	Budakalász	Omszk park	*			2011	Budakalász	Omszk park	*		
*	2013	Pomáz	Árpád Fejedelem útja	*			2013	Pomáz	Árpád fejedelem útja	*		
*	2013	Pomáz	Árpád fejedelem utca				2013	Pomáz	Árpád fejedelem útja			
*	2023	Dunabogdány	Kossuth Lajos utca	*			2023	Dunabogdány	Kossuth Lajos út	*		
*	2023	Dunabogdány	11. sz főút		0160/1		2023	Dunabogdány	11. számú főközlekedési út		0160/1	
*	2028	Pilismarót	Bajcsy-Zsillinszky utca	1/B			2028	Pilismarót	Bajcsy-Zsilinszky utca	1/b		
*	2028	Pilismarót	Esztergomi utca	*			2028	Pilismarót	Esztergomi út	*		
*	2030	Érd	Bajcsy-Zsilinszky utca	*			2030	Érd	Bajcsy-Zsilinszky út	*		
